Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 120.0.0.0,,,23-01-2024 15:30:40,23-01-2024 15:31:12,31.341s,PASSED
,,,,,,,
Test Cases/CURA Health/Login,Chrome 120.0.0.0,,,23-01-2024 15:30:41,23-01-2024 15:31:12,31.140s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,23-01-2024 15:30:41,23-01-2024 15:30:43,1.850s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,23-01-2024 15:30:43,23-01-2024 15:31:08,25.287s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,23-01-2024 15:31:08,23-01-2024 15:31:09,0.826s,PASSED
"setText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,23-01-2024 15:31:09,23-01-2024 15:31:10,0.831s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,23-01-2024 15:31:10,23-01-2024 15:31:10,0.468s,PASSED
"takeScreenshotAsCheckpoint(""cek"")",Chrome 120.0.0.0,,,23-01-2024 15:31:10,23-01-2024 15:31:11,0.675s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,23-01-2024 15:31:11,23-01-2024 15:31:12,0.941s,PASSED
