Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 120.0.0.0,,,23-01-2024 15:14:00,23-01-2024 15:14:13,12.658s,PASSED
,,,,,,,
Test Cases/CURA Health/Login,Chrome 120.0.0.0,,,23-01-2024 15:14:01,23-01-2024 15:14:13,12.473s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,23-01-2024 15:14:01,23-01-2024 15:14:03,1.824s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,23-01-2024 15:14:03,23-01-2024 15:14:06,3.401s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,23-01-2024 15:14:06,23-01-2024 15:14:07,0.781s,PASSED
"setText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,23-01-2024 15:14:07,23-01-2024 15:14:08,0.801s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,23-01-2024 15:14:08,23-01-2024 15:14:08,0.422s,PASSED
"takeScreenshotAsCheckpoint(""cek"")",Chrome 120.0.0.0,,,23-01-2024 15:14:08,23-01-2024 15:14:09,0.641s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,23-01-2024 15:14:09,23-01-2024 15:14:13,4.377s,PASSED
