Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 120.0.0.0,,,23-01-2024 16:36:48,23-01-2024 16:37:00,12.454s,PASSED
,,,,,,,
Test Cases/CURA Health/Login,Chrome 120.0.0.0,,,23-01-2024 16:36:48,23-01-2024 16:37:00,12.277s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,23-01-2024 16:36:48,23-01-2024 16:36:50,1.796s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,23-01-2024 16:36:50,23-01-2024 16:36:57,6.629s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,23-01-2024 16:36:57,23-01-2024 16:36:57,0.778s,PASSED
"setText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,23-01-2024 16:36:57,23-01-2024 16:36:58,0.814s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,23-01-2024 16:36:58,23-01-2024 16:36:59,0.465s,PASSED
"takeScreenshotAsCheckpoint(""cek"")",Chrome 120.0.0.0,,,23-01-2024 16:36:59,23-01-2024 16:36:59,0.641s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,23-01-2024 16:36:59,23-01-2024 16:37:00,0.920s,PASSED
