Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 120.0.0.0,,,24-01-2024 10:08:47,24-01-2024 10:09:01,14.610s,PASSED
,,,,,,,
Test Cases/CURA Health/Login,Chrome 120.0.0.0,,,24-01-2024 10:08:47,24-01-2024 10:09:01,14.378s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 10:08:47,24-01-2024 10:08:49,2.125s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,24-01-2024 10:08:49,24-01-2024 10:08:54,4.536s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,24-01-2024 10:08:54,24-01-2024 10:08:55,1.015s,PASSED
"setText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,24-01-2024 10:08:55,24-01-2024 10:08:56,0.874s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,24-01-2024 10:08:56,24-01-2024 10:08:56,0.533s,PASSED
delay(3),Chrome 120.0.0.0,,,24-01-2024 10:08:56,24-01-2024 10:08:59,3.051s,PASSED
"takeScreenshotAsCheckpoint(""Halaman Login"")",Chrome 120.0.0.0,,,24-01-2024 10:08:59,24-01-2024 10:09:00,0.793s,PASSED
"click(findTestObject(""Object Repository/CURA Health login/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,24-01-2024 10:09:00,24-01-2024 10:09:01,1.112s,PASSED
